Seismic Vulnerability Index of Microtremor (SVIM) Output
Station =  c0c02231120035925
Longitude =  1.000000
Latitude =  2.000000
Window =  62
Length Window =  25
Standard Deviation (F0) =  0.354545
A0 =  3.901196
F0 =  0.177419
Kg =  85.781677
Fmin =  0.062903
Fmax =  0.500415
Freq     H/V      SpecH/V  MinStd   MaxStd 
3.167742 0.732921 0.721059 0.668182 0.797660
3.177419 0.734684 0.725147 0.670022 0.799345
3.187097 0.736441 0.723967 0.671889 0.800993
3.196774 0.738192 0.721415 0.673780 0.802604
3.206452 0.739935 0.722517 0.675694 0.804176
3.216129 0.741668 0.726597 0.677626 0.805710
3.225806 0.743389 0.730272 0.679573 0.807205
3.235484 0.745095 0.729660 0.681532 0.808659
3.245161 0.746784 0.730139 0.683496 0.810072
3.254839 0.748452 0.734359 0.685460 0.811443
3.264516 0.750095 0.738593 0.687421 0.812769
3.274194 0.751710 0.741706 0.689371 0.814049
3.283871 0.753293 0.748906 0.691305 0.815282
3.293548 0.754841 0.761299 0.693217 0.816465
3.303226 0.756349 0.771948 0.695101 0.817597
3.312903 0.757813 0.777141 0.696951 0.818675
3.322581 0.759230 0.777449 0.698760 0.819699
3.332258 0.760595 0.774982 0.700524 0.820666
3.341935 0.761906 0.774171 0.702237 0.821575
3.351613 0.763159 0.776252 0.703893 0.822424
3.361290 0.764350 0.774945 0.705488 0.823212
3.370968 0.765477 0.773172 0.707017 0.823937
3.380645 0.766537 0.772699 0.708476 0.824598
3.390323 0.767528 0.773973 0.709861 0.825196
3.400000 0.768448 0.779430 0.711169 0.825728
3.409677 0.769296 0.784895 0.712397 0.826194
3.419355 0.770069 0.791038 0.713544 0.826595
3.429032 0.770769 0.794345 0.714607 0.826930
3.438710 0.771393 0.795664 0.715585 0.827200
3.448387 0.771942 0.794312 0.716478 0.827405
3.458065 0.772416 0.793020 0.717285 0.827546
3.467742 0.772816 0.796448 0.718007 0.827624
3.477419 0.773143 0.798870 0.718645 0.827641
3.487097 0.773397 0.792803 0.719199 0.827596
3.496774 0.773582 0.787787 0.719671 0.827493
3.506452 0.773698 0.786331 0.720064 0.827332
3.516129 0.773748 0.784303 0.720379 0.827116
3.525806 0.773733 0.780220 0.720619 0.826847
3.535484 0.773657 0.780022 0.720787 0.826527
3.545161 0.773522 0.773374 0.720886 0.826158
3.554839 0.773331 0.770735 0.720919 0.825742
3.564516 0.773086 0.773349 0.720890 0.825283
3.574194 0.772791 0.774692 0.720801 0.824781
3.583871 0.772448 0.770863 0.720656 0.824240
3.593548 0.772061 0.767688 0.720460 0.823663
3.603226 0.771633 0.769377 0.720214 0.823051
3.612903 0.771165 0.767995 0.719924 0.822407
3.622581 0.770663 0.771762 0.719591 0.821734
3.632258 0.770127 0.768212 0.719220 0.821035
3.641935 0.769562 0.766947 0.718813 0.820310
3.651613 0.768969 0.769589 0.718374 0.819563
3.661290 0.768351 0.772374 0.717906 0.818796
3.670968 0.767711 0.777922 0.717411 0.818011
3.680645 0.767051 0.783198 0.716892 0.817209
3.690323 0.766372 0.782187 0.716351 0.816394
3.700000 0.765679 0.779248 0.715791 0.815566
3.709677 0.764971 0.776391 0.715213 0.814728
3.719355 0.764251 0.773649 0.714620 0.813881
3.729032 0.763520 0.771052 0.714013 0.813027
3.738710 0.762780 0.768635 0.713394 0.812166
3.748387 0.762033 0.766428 0.712764 0.811301
3.758065 0.761279 0.764367 0.712125 0.810433
3.767742 0.760520 0.760410 0.711477 0.809562
3.777419 0.759756 0.755311 0.710822 0.808690
3.787097 0.758988 0.753435 0.710159 0.807818
3.796774 0.758218 0.750049 0.709491 0.806945
3.806452 0.757446 0.742721 0.708818 0.806074
3.816129 0.756672 0.745025 0.708139 0.805204
3.825806 0.755896 0.745972 0.707456 0.804337
3.835484 0.755120 0.749852 0.706769 0.803471
3.845161 0.754343 0.755842 0.706078 0.802609
3.854839 0.753566 0.756071 0.705384 0.801749
3.864516 0.752789 0.757045 0.704686 0.800892
3.874194 0.752011 0.757759 0.703984 0.800038
3.883871 0.751233 0.756605 0.703279 0.799187
3.893548 0.750455 0.755087 0.702571 0.798338
3.903226 0.749676 0.753912 0.701860 0.797492
3.912903 0.748897 0.753085 0.701145 0.796648
3.922581 0.748116 0.752568 0.700427 0.795806
3.932258 0.747335 0.750998 0.699706 0.794964
3.941935 0.746552 0.748753 0.698981 0.794123
3.951613 0.745767 0.746469 0.698252 0.793282
3.961290 0.744980 0.744201 0.697520 0.792441
3.970968 0.744190 0.741938 0.696783 0.791597
3.980645 0.743397 0.738619 0.696043 0.790751
3.990323 0.742600 0.737223 0.695298 0.789902
4.000000 0.741798 0.739469 0.694548 0.789048
4.009677 0.740991 0.744007 0.693793 0.788189
4.019355 0.740179 0.744870 0.693033 0.787324
4.029032 0.739360 0.737750 0.692268 0.786452
4.038710 0.738533 0.738717 0.691496 0.785570
4.048387 0.737699 0.748654 0.690718 0.784679
4.058065 0.736856 0.748117 0.689934 0.783778
4.067742 0.736003 0.747077 0.689142 0.782864
4.077419 0.735140 0.744176 0.688342 0.781937
4.087097 0.734265 0.740422 0.687534 0.780996
4.096774 0.733378 0.734683 0.686718 0.780039
4.106452 0.732479 0.728304 0.685892 0.779066
4.116129 0.731565 0.726919 0.685056 0.778075
4.125806 0.730637 0.728708 0.684210 0.777064
4.135484 0.729693 0.729635 0.683352 0.776034
4.145161 0.728733 0.729619 0.682483 0.774983
4.154839 0.727756 0.729984 0.681602 0.773910
4.164516 0.726760 0.729933 0.680707 0.772813
4.174194 0.725746 0.729718 0.679799 0.771693
4.183871 0.724713 0.729294 0.678877 0.770548
4.193548 0.723660 0.728823 0.677941 0.769378
4.203226 0.722586 0.726210 0.676989 0.768182
4.212903 0.721491 0.725545 0.676022 0.766960
4.222581 0.720374 0.724061 0.675038 0.765710
4.232258 0.719236 0.722302 0.674038 0.764433
4.241935 0.718075 0.721111 0.673021 0.763129
4.251613 0.716892 0.721546 0.671987 0.761797
4.261290 0.715686 0.723417 0.670935 0.760437
4.270968 0.714458 0.725270 0.669867 0.759050
4.280645 0.713208 0.725612 0.668780 0.757635
4.290323 0.711935 0.724799 0.667676 0.756194
4.300000 0.710640 0.723206 0.666555 0.754726
4.309677 0.709324 0.719092 0.665417 0.753232
4.319355 0.707987 0.716353 0.664262 0.751713
4.329032 0.706630 0.716258 0.663090 0.750169
4.338710 0.705253 0.716694 0.661903 0.748602
4.348387 0.703857 0.717503 0.660700 0.747013
4.358065 0.702443 0.717664 0.659483 0.745403
4.367742 0.701013 0.717026 0.658253 0.743773
4.377419 0.699567 0.716227 0.657009 0.742125
4.387097 0.698107 0.714006 0.655754 0.740460
4.396774 0.696634 0.709936 0.654489 0.738780
4.406452 0.695151 0.705024 0.653214 0.737087
4.416129 0.693657 0.699115 0.651931 0.735382
4.425806 0.692155 0.691297 0.650642 0.733669
4.435484 0.690648 0.686004 0.649348 0.731947
4.445161 0.689136 0.683728 0.648051 0.730221
4.454839 0.687621 0.681297 0.646752 0.728491
4.464516 0.686107 0.679498 0.645452 0.726761
4.474194 0.684594 0.679290 0.644155 0.725032
4.483871 0.683084 0.682040 0.642862 0.723307
4.493548 0.681581 0.686053 0.641574 0.721588
4.503226 0.680086 0.689543 0.640293 0.719878
4.512903 0.678601 0.692848 0.639023 0.718179
4.522581 0.677129 0.695860 0.637763 0.716494
4.532258 0.675671 0.696732 0.636518 0.714825
4.541935 0.674231 0.693484 0.635288 0.713175
4.551613 0.672810 0.688269 0.634075 0.711545
4.561290 0.671411 0.683370 0.632882 0.709939
4.570968 0.670035 0.677700 0.631711 0.708359
4.580645 0.668685 0.671861 0.630564 0.706807
4.590323 0.667364 0.664276 0.629442 0.705286
4.600000 0.666073 0.658181 0.628347 0.703798
4.609677 0.664814 0.654912 0.627283 0.702346
4.619355 0.663590 0.652290 0.626249 0.700930
4.629032 0.662401 0.651887 0.625248 0.699555
4.638710 0.661252 0.648501 0.624282 0.698221
4.648387 0.660142 0.644089 0.623353 0.696931
4.658065 0.659074 0.639914 0.622461 0.695686
4.667742 0.658049 0.635982 0.621609 0.694489
4.677419 0.657070 0.632296 0.620798 0.693341
4.687097 0.656137 0.628862 0.620029 0.692244
4.696774 0.655251 0.625948 0.619304 0.691199
4.706452 0.654416 0.625189 0.618623 0.690208
4.716129 0.653631 0.627897 0.617989 0.689272
4.725806 0.652897 0.630029 0.617401 0.688393
4.735484 0.652216 0.629828 0.616860 0.687572
4.745161 0.651589 0.629397 0.616369 0.686809
4.754839 0.651016 0.629228 0.615926 0.686105
4.764516 0.650498 0.629316 0.615534 0.685462
4.774194 0.650036 0.629654 0.615192 0.684880
4.783871 0.649630 0.630234 0.614900 0.684360
4.793548 0.649281 0.631051 0.614661 0.683902
4.803226 0.648990 0.632097 0.614472 0.683507
4.812903 0.648755 0.633071 0.614336 0.683175
4.822581 0.648578 0.633026 0.614251 0.682906
4.832258 0.648459 0.633292 0.614218 0.682700
4.841935 0.648397 0.634598 0.614237 0.682557
4.851613 0.648392 0.637209 0.614307 0.682477
4.861290 0.648445 0.639212 0.614429 0.682461
4.870968 0.648554 0.637835 0.614602 0.682507
4.880645 0.648720 0.635769 0.614826 0.682615
4.890323 0.648942 0.634787 0.615100 0.682785
4.900000 0.649220 0.633411 0.615425 0.683016
4.909677 0.649553 0.633071 0.615798 0.683307
4.919355 0.649939 0.634185 0.616220 0.683658
4.929032 0.650379 0.635654 0.616690 0.684069
4.938710 0.650872 0.638189 0.617208 0.684537
4.948387 0.651417 0.640565 0.617772 0.685062
4.958065 0.652013 0.642510 0.618381 0.685644
4.967742 0.652658 0.639929 0.619035 0.686281
4.977419 0.653352 0.638674 0.619734 0.686971
4.987097 0.654094 0.639859 0.620475 0.687714
4.996774 0.654883 0.641271 0.621258 0.688509
5.006452 0.655717 0.642025 0.622081 0.689353
5.016129 0.656596 0.641356 0.622945 0.690247
5.025806 0.657517 0.640798 0.623847 0.691187
5.035484 0.658480 0.642052 0.624786 0.692173
5.045161 0.659483 0.641862 0.625761 0.693204
5.054839 0.660525 0.641217 0.626772 0.694277
5.064516 0.661604 0.645948 0.627816 0.695392
5.074194 0.662720 0.649191 0.628893 0.696546
5.083871 0.663870 0.651180 0.630001 0.697739
5.093548 0.665053 0.653209 0.631139 0.698967
5.103226 0.666268 0.655201 0.632305 0.700230
5.112903 0.667513 0.653123 0.633499 0.701526
5.122581 0.668786 0.650910 0.634718 0.702853
5.132258 0.670086 0.648950 0.635962 0.704210
5.141935 0.671412 0.650751 0.637229 0.705594
5.151613 0.672761 0.650231 0.638517 0.707005
5.161290 0.674133 0.652899 0.639826 0.708439
5.170968 0.675525 0.654311 0.641153 0.709896
5.180645 0.676936 0.656779 0.642498 0.711374
5.190323 0.678364 0.660854 0.643858 0.712871
5.200000 0.679809 0.665255 0.645233 0.714384
5.209677 0.681267 0.669815 0.646621 0.715914
5.219355 0.682738 0.673076 0.648020 0.717457
5.229032 0.684221 0.674744 0.649430 0.719011
5.238710 0.685712 0.676128 0.650848 0.720576
5.248387 0.687212 0.677438 0.652273 0.722150
5.258065 0.688717 0.680400 0.653704 0.723731
5.267742 0.690228 0.685409 0.655140 0.725316
5.277419 0.691742 0.689070 0.656578 0.726906
5.287097 0.693258 0.691820 0.658019 0.728497
5.296774 0.694774 0.693537 0.659459 0.730089
5.306452 0.696289 0.695637 0.660899 0.731680
